Timestamp,Altitude_ft,Airspeed_kts,AccelX_ft_s2,AccelY_ft_s2,AccelZ_ft_s2
2026-01-16 08:56:38.702,3198,80,0.354,-0.583,0.363
2026-01-16 08:56:38.965,3196,80,0.360,-0.538,0.395
2026-01-16 08:56:39.228,3194,80,0.366,-0.506,0.424
2026-01-16 08:56:39.489,3193,80,0.369,-0.476,0.451
2026-01-16 08:56:39.755,3191,80,0.372,-0.445,0.477
2026-01-16 08:56:40.033,3189,80,0.375,-0.412,0.500
2026-01-16 08:56:40.298,3188,80,0.378,-0.385,0.521
2026-01-16 08:56:40.562,3186,80,0.379,-0.362,0.540
2026-01-16 08:56:40.826,3184,80,0.381,-0.332,0.557
2026-01-16 08:56:41.089,3182,80,0.383,-0.296,0.573
2026-01-16 08:56:41.367,3180,80,0.384,-0.262,0.586
2026-01-16 08:56:41.634,3178,81,0.384,-0.225,0.598
2026-01-16 08:56:41.915,3176,81,0.384,-0.185,0.607
2026-01-16 08:56:42.162,3175,81,0.384,-0.185,0.614
2026-01-16 08:56:42.427,3173,81,0.384,-0.140,0.621
2026-01-16 08:56:42.691,3171,81,0.382,-0.077,0.624
2026-01-16 08:56:42.957,3169,81,0.380,-0.024,0.624
2026-01-16 08:56:43.221,3167,81,0.380,0.019,0.622
2026-01-16 08:56:43.498,3165,81,0.381,0.051,0.617
2026-01-16 08:56:43.763,3163,81,0.382,0.079,0.611
2026-01-16 08:56:44.030,3161,81,0.381,0.116,0.604
2026-01-16 08:56:44.295,3159,81,0.379,0.181,0.596
2026-01-16 08:56:44.559,3157,82,0.375,0.222,0.585
2026-01-16 08:56:44.826,3155,82,0.371,0.251,0.571
2026-01-16 08:56:45.090,3153,82,0.367,0.276,0.556
2026-01-16 08:56:45.368,3151,82,0.363,0.304,0.539
2026-01-16 08:56:45.635,3150,82,0.360,0.332,0.521
2026-01-16 08:56:45.899,3148,82,0.357,0.367,0.503
2026-01-16 08:56:46.163,3146,82,0.353,0.426,0.484
2026-01-16 08:56:46.429,3144,82,0.347,0.455,0.462
2026-01-16 08:56:46.693,3142,82,0.343,0.469,0.438
2026-01-16 08:56:46.957,3141,82,0.338,0.480,0.413
2026-01-16 08:56:47.223,3139,82,0.333,0.489,0.386
2026-01-16 08:56:47.502,3137,82,0.328,0.494,0.359
2026-01-16 08:56:47.765,3136,82,0.342,0.437,0.326
2026-01-16 08:56:48.027,3134,83,0.347,0.433,0.301
2026-01-16 08:56:48.291,3132,83,0.371,0.415,0.279
2026-01-16 08:56:48.569,3131,83,0.395,0.417,0.254
2026-01-16 08:56:48.835,3129,83,0.418,0.418,0.229
2026-01-16 08:56:49.099,3128,83,0.445,0.424,0.200
2026-01-16 08:56:49.362,3127,83,1.046,0.761,0.170
2026-01-16 08:56:49.626,3125,83,0.650,1.586,0.117
2026-01-16 08:56:49.888,3124,83,0.010,1.346,0.033
2026-01-16 08:56:50.165,3123,83,-1.615,0.434,-0.107
2026-01-16 08:56:50.430,3121,83,-0.793,-2.389,-0.373
2026-01-16 08:56:50.693,3120,83,0.563,-0.606,0.024
2026-01-16 08:56:50.956,3119,83,1.563,-0.306,0.116
2026-01-16 08:56:51.235,3117,83,2.094,-0.240,0.080
2026-01-16 08:56:51.498,3116,83,3.183,-2.349,-0.144
